Gibbon,Species,Age,Weight,DGC,DO,DB,DNB1,N1O1,,,,,,
Lo Lem,leucogenys,9,7.6,9.493,0.448,8.597,0.906,,,,,,,
Lo Lem,leucogenys,9,7.6,11.1816,2.6916,7.893,0.662,0.757,,,,,,
Lo Lem,leucogenys,9,7.6,12.4995,2.6875,9.471,0.79,0.555,,,,,,
Lo Lem,leucogenys,9,7.6,13.304,4.619,8.291,0.694,1.034,,,,,,
Lo Lem,leucogenys,9,7.6,8.743,3.317,5.074,0.587,0.608,,,,,,
Lo Lem,leucogenys,9,7.6,11.105,2.858,7.788,0.885,0.907,,,,,,
Lo Lem,leucogenys,9,7.6,8.992,0.646,7.801,0.756,,,,,,,
Lo Lem,leucogenys,9,7.6,10.141,0.372,9.248,0.599,,,,,,,
Lo Lem,leucogenys,9,7.6,12.2216,2.2866,9.263,0.672,0.562,,,,,,
Lo Lem,leucogenys,9,7.6,10.157,0.668,8.987,0.778,,,,,,,
Lo Lem,leucogenys,9,7.6,13.595,1.769,11.218,0.651,0.597,,,,,,
Lo Lem,leucogenys,9,7.6,12.473,3.485,8.598,0.879,0.864,,,,,,
Lo Lem,leucogenys,9,7.6,10.915,2.612,7.909,0.683,0.64,,,,,,
Lo Lem,leucogenys,9,7.6,12.266,0.861,10.925,0.662,,,,,,,
Polly,leucogenys,25,8.5,9.991,6.016,3.676,0.853,0.417,,,,,,
Polly,leucogenys,25,8.5,11.0687,4.3947,6.386,0.907,0.572,,,,,,
Polly,leucogenys,25,8.5,13.5427,6.4747,6.737,0.896,0.427,,,,,,
Polly,leucogenys,25,8.5,12.6073,4.2843,8.035,0.939,0.491,,,,,,
Polly,leucogenys,25,8.5,10.686,5.168,5.209,0.726,0.356,,,,,,
Polly,leucogenys,25,8.5,9.655,2.685,6.661,1.035,,,,,,,
Polly,leucogenys,25,8.5,7.695,3.648,3.781,0.704,0.335,,,,,,
Polly,leucogenys,25,8.5,13.05056,5.92656,6.815,0.992,0.822,,,,,,
Polly,leucogenys,25,8.5,11.001,4.352,6.361,1.002,0.593,,,,,,
Polly,leucogenys,25,8.5,7.723,2.704,4.635,0.726,0.384,,,,,,
Polly,leucogenys,25,8.5,11.207,5.303,5.616,0.821,0.361,,,,,,
Polly,leucogenys,25,8.5,12.542,5.991,6.26,0.797,0.448,,,,,,
Polly,leucogenys,25,8.5,11.75,5.429,6.022,0.939,0.442,,,,,,
Polly,leucogenys,25,8.5,8.242,2.699,5.202,1.067,,,,,,,
Polly,leucogenys,25,8.5,12.214,5.5,6.405,0.8,0.401,,,,,,
Polly,leucogenys,25,8.5,12.8803,5.9413,6.715,0.864,0.63,,,,,,
Polly,leucogenys,25,8.5,10.392,3.723,6.328,0.821,0.507,,,,,,
Polly,leucogenys,25,8.5,11.568,3.815,7.433,1.238,0.534,,,,,,
Polly,leucogenys,25,8.5,10.131,4.512,5.363,0.992,0.332,,,,,,
Polly,leucogenys,25,8.5,10.885,4.604,5.971,0.853,0.565,,,,,,
Polly,leucogenys,25,8.5,12.6117,4.8287,7.474,1.067,0.8,,,,,,
Polly,leucogenys,25,8.5,12.8332,5.8522,6.704,0.853,0.608,,,,,,
Polly,leucogenys,25,8.5,13.2934,6.2084,6.819,1.003,0.608,,,,,,
